;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1318;1318;惜;pity,be sparing of,frugal,stingy,regret;おしい;せき;1294;99.43563786;0.00225971;N2;57;K;p4
1748;1748;羊;sheep;ひつじ;よう;1627;99.96666929999999;0.00056493;N2;6;K;p4
1033;1033;丼;bowl,bowl of food;どんぶり;とん;1034;98.36849063;0.00508434;N2;34;K;p4
131;131;通;traffic,pass through,avenue,commute,counter for letters;とおる;つう;132;68.08839979;0.1502706;N2;34;K;p4
1451;1451;縮;shrink,contract,shrivel,wrinkle,reduce;ちぢむ;しゅく;1367;99.68759533;0.00169478;N2;34;K;p4
1520;1520;惨;wretched,disaster,cruelty,harsh;みじめ;さん;1476;99.77854859;0.00112985;N2;53;K;p4
85;85;紀;chronicle,account,narrative,history,annals,geologic period;;き;86;58.797044299999996;0.26495079;N2;23;K;p4
1079;1079;随;follow,though,notwithstanding,while,during,both,all,obey,submit to,comply,at the mercy of (the waves);まにまに;ずい;1034;98.60237043;0.00508434;N2;53;K;p4
498;498;片;one-sided,leaf,sheet,right-side kata radical (no. 91);かた;へん;497;91.7017863;0.02542172;N2;39;K;p4
1397;1397;尖;be pointed,sharp,taper,displeased,angry,edgy;とがる;せん;1367;99.59607715;0.00169478;N2;27;K;p4
1056;1056;欠;lack,gap,fail,yawning radical (no. 76);かける;けつ;1034;98.48543053;0.00508434;N2;38;K;p4
532;532;浮;floating,float,rise to surface;うく;ふ;527;92.52149547;0.02316201;N2;30;K;p4
1649;1649;噴;erupt,spout,emit,flush out;ふく;ふん;1627;99.91074152;0.00056493;N2;52;K;p4
1355;1355;臨;look to,face,meet,confront,attend,call on;のぞむ;りん;1294;99.51924707;0.00225971;N2;37;K;p4
1094;1094;官;bureaucrat,the government,organ;;かん;1084;98.67185646;0.00451942;N2;24;K;p4
1763;1763;葬;interment,bury,shelve;ほうむる;そう;1627;99.97514321;0.00056493;N2;37;K;p4
1804;1804;項;paragraph,nape of neck,clause,item,term (expression);うなじ;こう;1627;99.99830522;0.00056493;N2;39;K;p4
499;499;狙;aim at,sight,shadow,stalk;ねらう;そ;497;91.72720802;0.02542172;N2;39;K;p4
1609;1609;鈴;small bell,buzzer;すず;れい;1476;99.87910561;0.00112985;N2;39;K;p4
152;152;確;assurance,firm,tight,hard,solid,confirm,clear,evident;たしか;かく;153;71.08477296;0.13332279;N2;20;K;p4
1146;1146;幼;infancy,childhood;おさない;よう;1133;98.89839222;0.00395449;N2;30;K;p4
1432;1432;漁;fishing,fishery;あさる;ぎょ;1367;99.65539449;0.00169478;N2;37;K;p4
1535;1535;枕;pillow;まくら;ちん;1476;99.7954964;0.00112985;N2;30;K;p4
528;528;将;leader,commander,general,admiral,or,and again,soon,from now on,just about;まさに;しょう;527;92.42884744;0.02316201;N2;39;K;p4
1254;1254;炊;cook,boil;たく;すい;1229;99.26954930000001;0.00282464;N2;47;K;p4
1573;1573;群;flock,group,crowd,herd,swarm,cluster;むれる;ぐん;1476;99.83843086;0.00112985;N2;39;K;p4
1710;1710;渇;thirst,dry up,parch;かわく;かつ;1627;99.94520207;0.00056493;N2;30;K;p4
1379;1379;却;instead,on the contrary,rather,step back,withdraw,retreat;かえって;きゃく;1367;99.56557108;0.00169478;N2;38;K;p4
963;963;募;recruit,campaign,gather (contributions),enlist,grow violent;つのる;ぼ;958;97.9566588;0.0062142;N2;37;K;p4
