;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
664;664;婚;marriage;;こん;661;94.96875953;0.0146881;;-1;K;p4
668;668;潰;crush,smash,break,dissipate;つぶす;かい;661;95.02751195;0.0146881;;-1;K;p4
688;688;険;precipitous,inaccessible place,impregnable position,steep place,sharp eyes;けわしい;けん;679;95.31505983;0.01412318;;-1;K;p4
708;708;筈;notch of an arrow,ought,must,should be,expected;はず;かつ;701;95.58114047;0.01299332;;-1;K;p4
710;710;節;node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle,knob,knot,tune,melody;ふし;せつ;701;95.60712712;0.01299332;;-1;K;p4
727;727;級;class,rank,grade;;きゅう;717;95.82123448;0.0124284;;-1;K;p4
733;733;踪;remains,clue,footprint;あと;そう;717;95.89580485;0.0124284;;-1;K;p4
748;748;貰;get,have,obtain;もらう;せい;736;96.07432181;0.01186347;;-1;K;p4
756;756;嘘;lie,falsehood;うそ;きょ;753;96.16640492;0.01129854;;-1;K;p4
789;789;辰;sign of the dragon,7-9AM,fifth sign of Chinese zodiac,shin dragon radical (no. 161);たつ;しん;771;96.52795824;0.01073361;;-1;K;p4
790;790;銭;coin,.01 yen,money;ぜに;せん;771;96.53869185;0.01073361;;-1;K;p4
795;795;婆;old woman,grandma,wet nurse;ばば;ば;793;96.59010022;0.01016869;;-1;K;p4
796;796;屈;yield,bend,flinch,submit;かがむ;くつ;793;96.60026891;0.01016869;;-1;K;p4
797;797;康;ease,peace;;こう;793;96.61043759;0.01016869;;-1;K;p4
648;648;史;history,chronicle;;し;646;94.72753568;0.01525303;;-1;K;p4
799;799;拶;be imminent,draw close;せまる;さつ;793;96.63077497;0.01016869;;-1;K;p4
640;640;拐;kidnap,falsify;;かい;636;94.60325172;0.01581796;;-1;K;p4
580;580;舎;cottage,inn,hut,house,mansion;やどる;しゃ;572;93.54457839;0.01977245;;-1;K;p4
383;383;噂;rumor,gossip,hearsay;うわさ;そん;384;87.97326765;0.03897997;;-1;K;p4
392;392;週;week;;しゅう;389;88.32126272;0.03841504;;-1;K;p4
404;404;雄;masculine,male,hero,leader,superiority,excellence;お;ゆう;404;88.77094467;0.03672026;;-1;K;p4
407;407;偵;spy;;てい;407;88.8799756;0.03615533;;-1;K;p4
408;408;客;guest,visitor,customer,client;;きゃく;407;88.91613093;0.03615533;;-1;K;p4
426;426;談;discuss,talk;;だん;424;89.55393359;0.03446055;;-1;K;p4
462;462;惑;beguile,delusion,perplexity;まどう;わく;459;90.70243032;0.02994113;;-1;K;p4
470;470;奴;guy,slave,manservant,fellow;やつ;ど;471;90.93913476;0.02881128;;-1;K;p4
483;483;像;statue,picture,image,figure,portrait;;ぞう;483;91.30577242;0.0271165;;-1;K;p4
520;520;揃;be complete,uniform,all present;そろえる;せん;518;92.24072672;0.02372694;;-1;K;p4
524;524;繋;tie,fasten,chain,tether,connect;つなぐ;けい;518;92.33563447;0.02372694;;-1;K;p4
527;527;奈;Nara,what?;いかん;な;527;92.40568543;0.02316201;;-1;K;p4
529;529;師;expert,teacher,master,model,exemplar,army (incl. counter),war;いくさ;し;527;92.45200945;0.02316201;;-1;K;p4
530;530;沖;open sea,offing,rise high into sky;おき;ちゅう;527;92.47517146;0.02316201;;-1;K;p4
549;549;況;condition,situation;まして;きょう;546;92.9039511;0.02203216;;-1;K;p4
552;552;頷;nod approval;うなずく;がん;546;92.97004757;0.02203216;;-1;K;p4
553;553;鮫;shark;さめ;こう;546;92.99207972;0.02203216;;-1;K;p4
623;623;接;touch,contact,adjoin,piece together;つぐ;せつ;622;94.32587253;0.01694781;;-1;K;p4
800;800;挨;approach,draw near,push open;ひらく;あい;793;96.64094365;0.01016869;;-1;K;p4
808;808;諦;truth,clarity,abandon,give up;あきらめる;てい;793;96.72229315;0.01016869;;-1;K;p4
841;841;杯;counter for cupfuls,wine glass,glass,toast;さかずき;はい;832;97.03526275;0.00903883;;-1;K;p4
992;992;飴;rice jelly,candy;あめ;い;958;98.13687053;0.0062142;;-1;K;p4
993;993;騙;deceive;かたる;へん;958;98.14308473;0.0062142;;-1;K;p4
997;997;叶;grant,answer;かなえる;きょう;995;98.16568181;0.00564927;;-1;K;p4
1007;1007;抗;confront,resist,defy,oppose;あらがう;こう;995;98.22217452;0.00564927;;-1;K;p4
1012;1012;牲;animal sacrifice,offering;;せい;995;98.25042087;0.00564927;;-1;K;p4
1015;1015;皇;emperor;;こう;995;98.26736868;0.00564927;;-1;K;p4
1018;1018;礎;cornerstone,foundation stone;いしずえ;そ;995;98.28431649;0.00564927;;-1;K;p4
1024;1024;葛;arrowroot,kudzu;つづら;かつ;995;98.31821212;0.00564927;;-1;K;p4
1028;1028;鎧;put on armor,arm oneself;よろう;かい;995;98.34080920000001;0.00564927;;-1;K;p4
1034;1034;候;climate,season,weather,wait for,expect;そうろう;こう;1034;98.37357497;0.00508434;;-1;K;p4
1036;1036;叔;uncle,youth;;しゅく;1034;98.38374366;0.00508434;;-1;K;p4
1038;1038;噛;chew,bite,gnaw;かむ;こう;1034;98.39391235;0.00508434;;-1;K;p4
1040;1040;奮;stirred up,be invigorated,flourish;ふるう;ふん;1034;98.40408103;0.00508434;;-1;K;p4
1046;1046;徴;indications,sign,omen,symptom,collect,seek,refer to,question;しるし;ちょう;1034;98.43458709;0.00508434;;-1;K;p4
1051;1051;捻;twirl,twist,play with;ねじる;ねん;1034;98.46000881;0.00508434;;-1;K;p4
1055;1055;橘;mandarin orange;たちばな;きつ;1034;98.48034619;0.00508434;;-1;K;p4
1059;1059;江;creek,inlet,bay;え;こう;1034;98.50068356;0.00508434;;-1;K;p4
972;972;憩;recess,rest,relax,repose;いこい;けい;958;98.01258658;0.0062142;;-1;K;p4
968;968;央;center,middle;;おう;958;97.98772978;0.0062142;;-1;K;p4
965;965;匂;fragrant,stink,glow,insinuate,(kokuji);におう;;958;97.96908719;0.0062142;;-1;K;p4
962;962;剛;sturdy,strength;;ごう;958;97.9504446;0.0062142;;-1;K;p4
849;849;賽;dice,temple visit;;さい;832;97.10757341;0.00903883;;-1;K;p4
855;855;剣;sabre,sword,blade,clock hand;つるぎ;けん;853;97.1595467;0.00847391;;-1;K;p4
858;858;喋;talk,chat,chatter;しゃべる;ちょう;853;97.18496842;0.00847391;;-1;K;p4
859;859;姫;princess;ひめ;き;853;97.19344233;0.00847391;;-1;K;p4
868;868;鹿;deer;しか;ろく;853;97.26970748;0.00847391;;-1;K;p4
871;871;倫;ethics,companion;;りん;870;97.29343442;0.00790898;;-1;K;p4
884;884;熊;bear;くま;ゆう;870;97.39625114;0.00790898;;-1;K;p4
889;889;術;art,technique,skill,means,trick,resources,magic;すべ;じゅつ;870;97.43579604;0.00790898;;-1;K;p4
1067;1067;糖;sugar;;とう;1034;98.54135831;0.00508434;;-1;K;p4
895;895;類;sort,kind,variety,class,genus;たぐい;るい;870;97.48324991;0.00790898;;-1;K;p4
917;917;績;exploits,achievements,unreeling cocoons;;せき;898;97.64538398;0.00734405;;-1;K;p4
926;926;凶;villain,evil,bad luck,disaster;;きょう;925;97.70978567;0.00677912;;-1;K;p4
928;928;句;phrase,clause,sentence,passage,paragraph,counter for haiku;;く;925;97.72334392;0.00677912;;-1;K;p4
934;934;搬;conveyor,carry,transport;;はん;925;97.76401867;0.00677912;;-1;K;p4
937;937;柊;holly;ひいらぎ;しゅ;925;97.78435604;0.00677912;;-1;K;p4
942;942;溜;collect,gather,be in arrears;たまる;りゅう;925;97.81825166;0.00677912;;-1;K;p4
953;953;躍;leap,dance,skip;おどる;やく;925;97.89282204;0.00677912;;-1;K;p4
956;956;麦;barley,wheat;むぎ;ばく;925;97.91315941;0.00677912;;-1;K;p4
900;900;呂;spine,backbone;せぼね;ろ;898;97.52053509999999;0.00734405;;-1;K;p4
373;373;査;investigate;;さ;373;87.57216943;0.0418046;;-1;K;p4
1383;1383;喝;hoarse,scold;;かつ;1367;99.57235021;0.00169478;;-1;K;p4
1389;1389;堰;dam,prevent,stop up;せき;えん;1367;99.5825189;0.00169478;;-1;K;p4
1677;1677;捧;lift up,give,offer,consecrate,sacrifice,dedicate;ささげる;ほう;1627;99.92655948;0.00056493;;-1;K;p4
1681;1681;摂;vicarious,surrogate,act in addition to,take in,absorb;おさめる;せつ;1627;99.92881919;0.00056493;;-1;K;p4
1683;1683;摺;rub,fold,print (on cloth);する;しょう;1627;99.92994904;0.00056493;;-1;K;p4
1688;1688;旬;decameron,ten-day period,season (for specific products);;じゅん;1627;99.93277368;0.00056493;;-1;K;p4
1689;1689;晶;sparkle,clear,crystal;;しょう;1627;99.93333861;0.00056493;;-1;K;p4
1690;1690;曹;office,official,comrade,fellow;;そう;1627;99.93390353;0.00056493;;-1;K;p4
1691;1691;朕;majestic plural,imperial we;;ちん;1627;99.93446846;0.00056493;;-1;K;p4
1692;1692;朴;crude,simple,plain,docile;ほう;ぼく;1627;99.93503339;0.00056493;;-1;K;p4
1693;1693;杏;apricot;あんず;きょう;1627;99.93559831;0.00056493;;-1;K;p4
1697;1697;柳;willow;やなぎ;りゅう;1627;99.93785802;0.00056493;;-1;K;p4
1699;1699;椎;chinquapin,mallet,spine;つち;つい;1627;99.93898788;0.00056493;;-1;K;p4
1703;1703;歪;warp,bend,strained,distort;いがむ;わい;1627;99.94124758;0.00056493;;-1;K;p4
1705;1705;沽;"price,buying &amp; selling";あたい;こ;1627;99.94237744;0.00056493;;-1;K;p4
1706;1706;洒;wash,sprinkle;すすぐ;しゃ;1627;99.94294237;0.00056493;;-1;K;p4
1707;1707;洞;den,cave,excavation;ほら;どう;1627;99.94350729;0.00056493;;-1;K;p4
1709;1709;淵;abyss,edge,deep pool,the depths;ふち;えん;1627;99.94463715;0.00056493;;-1;K;p4
