136	残	198	243	0,07683008	80,18235846
134	覚	199	244	0,07570023	80,25805868
133	四	200	245	0,07513530	80,33319398
133	引	200	245	0,07513530	80,40832928
133	急	200	245	0,07513530	80,48346458
133	由	200	245	0,07513530	80,55859988
132	兄	201	249	0,07457037	80,63317026
132	業	201	249	0,07457037	80,70774063
131	他	202	251	0,07400545	80,78174608
130	旅	203	252	0,07344052	80,85518660
129	正	204	253	0,07287559	80,92806219
128	対	205	254	0,07231066	81,00037285
128	準	205	254	0,07231066	81,07268352
128	集	205	254	0,07231066	81,14499418
126	員	206	257	0,07118081	81,21617499
126	問	206	257	0,07118081	81,28735580
126	声	206	257	0,07118081	81,35853661
123	数	207	260	0,06948603	81,42802264
123	演	207	260	0,06948603	81,49750867
123	身	207	260	0,06948603	81,56699470
121	忘	208	263	0,06835618	81,63535088
121	救	208	263	0,06835618	81,70370705
121	題	208	263	0,06835618	81,77206323
120	送	209	266	0,06779125	81,83985447
119	定	210	267	0,06722632	81,90708080
119	空	210	267	0,06722632	81,97430712
117	勝	211	269	0,06609647	82,04040358
116	多	212	270	0,06553154	82,10593512
116	泣	212	270	0,06553154	82,17146666
114	怖	213	272	0,06440169	82,23586835
114	誘	213	272	0,06440169	82,30027004
113	恥	214	274	0,06383676	82,36410679
111	内	215	275	0,06270690	82,42681370
111	受	215	275	0,06270690	82,48952060
111	地	215	275	0,06270690	82,55222751
111	羽	215	275	0,06270690	82,61493441
111	覆	215	275	0,06270690	82,67764132
110	習	216	280	0,06214198	82,73978329
110	落	216	280	0,06214198	82,80192527
110	葉	216	280	0,06214198	82,86406725
109	稲	217	283	0,06157705	82,92564430
108	要	218	284	0,06101212	82,98665642
108	遊	218	284	0,06101212	83,04766855
107	院	219	286	0,06044720	83,10811574
106	得	220	287	0,05988227	83,16799801
106	発	220	287	0,05988227	83,22788028
106	絶	220	287	0,05988227	83,28776255
105	化	221	290	0,05931734	83,34707989
104	安	222	291	0,05875242	83,40583231
103	止	223	292	0,05818749	83,46401980
103	約	223	292	0,05818749	83,52220728
103	能	223	292	0,05818749	83,58039477
102	役	224	295	0,05762256	83,63801733
102	絆	224	295	0,05762256	83,69563989
101	失	225	297	0,05705763	83,75269753
101	寝	225	297	0,05705763	83,80975516
101	肉	225	297	0,05705763	83,86681279
100	勉	226	300	0,05649271	83,92330550
100	彼	226	300	0,05649271	83,97979821
100	晴	226	300	0,05649271	84,03629091
100	流	226	300	0,05649271	84,09278362
99	守	227	304	0,05592778	84,14871140
99	達	227	304	0,05592778	84,20463918
98	八	228	306	0,05536285	84,26000203
98	嫌	228	306	0,05536285	84,31536489
98	答	228	306	0,05536285	84,37072774
98	起	228	306	0,05536285	84,42609059
97	苦	229	310	0,05479793	84,48088852
97	電	229	310	0,05479793	84,53568644
96	口	230	312	0,05423300	84,58991944
96	期	230	312	0,05423300	84,64415244
95	倒	231	314	0,05366807	84,69782051
95	呼	231	314	0,05366807	84,75148858
95	始	231	314	0,05366807	84,80515665
95	組	231	314	0,05366807	84,85882473
95	願	231	314	0,05366807	84,91249280
94	代	232	319	0,05310314	84,96559594
94	新	232	319	0,05310314	85,01869909
94	用	232	319	0,05310314	85,07180223
94	逃	232	319	0,05310314	85,12490537
93	使	233	323	0,05253822	85,17744359
93	想	233	323	0,05253822	85,22998181
93	状	233	323	0,05253822	85,28252003
93	館	233	323	0,05253822	85,33505824
92	充	234	327	0,05197329	85,38703153
92	十	234	327	0,05197329	85,43900482
91	友	235	329	0,05140836	85,49041319
91	悠	235	329	0,05140836	85,54182155
90	命	236	331	0,05084344	85,59266499
90	道	236	331	0,05084344	85,64350842
89	予	237	333	0,05027851	85,69378693
89	捜	237	333	0,05027851	85,74406544
89	疲	237	333	0,05027851	85,79434395
88	市	238	336	0,04971358	85,84405753
88	戦	238	336	0,04971358	85,89377111
88	族	238	336	0,04971358	85,94348470
88	束	238	336	0,04971358	85,99319828
88	遠	238	336	0,04971358	86,04291186
87	乗	239	341	0,04914865	86,09206051
85	重	240	342	0,04801880	86,14007932
