;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
97;感;emotion,feeling,sensation;;かん;98;61.76347634;0.22879546;N3;13;K;p4
98;意;idea,mind,heart,taste,thought,desire,care,liking;;い;99;61.98888224;0.2254059;N5;11;K;p4
99;夜;night,evening;よ;や;100;62.21259335;0.22371112;N5;6;K;p4
100;輔;help;たすける;ほ;100;62.43630447;0.22371112;N3;8;K;p4
101;尚;esteem,furthermore,still,yet;なお;しょう;102;62.65493125;0.21862678;N1;54;K;p4
102;本;book,present,main,origin,true,real,counter for long cylindrical things;もと;ほん;102;62.87355802;0.21862678;N5;2;K;p4
103;全;whole,entire,all,complete,fulfill;まったく;ぜん;104;63.08879524;0.21523721;N5;9;K;p4
104;当;hit,right,appropriate,himself;あたる;とう;105;63.29951303;0.2107178;N3;8;K;p4
105;楽;music,comfort,ease;たのしい;がく;106;63.50684127;0.20732823;N3;8;K;p4
106;心;heart,mind,spirit,heart radical (no. 61);こころ;しん;107;63.70739038;0.20054911;N4;3;K;p4
107;少;few,little;すくない;しょう;108;63.90737456;0.19998418;N3;4;K;p4
108;味;flavor,taste;あじ;み;109;64.10566396;0.1982894;N4;11;K;p4
109;件;affair,case,matter,item;くだん;けん;110;64.29999887;0.19433491;;-1;K;p4
110;誰;who,someone,somebody;だれ;すい;111;64.49320393;0.19320506;N5;43;K;p4
111;食;eat,food;くう;しょく;112;64.68527913;0.1920752;N5;17;K;p4
112;違;difference,differ;ちがう;い;113;64.87678941;0.19151028;N5;24;K;p4
113;緒;thong,beginning,inception,end,cord,strap,mental or emotional state;お;しょ;114;65.06321534;0.18642593;;-1;K;p4
114;体;body,substance,object,reality,counter for images;からだ;たい;115;65.24681664;0.1836013;N5;5;K;p4
115;力;power,strength,strong,strain,bear up,exert;ちから;りょく;116;65.42928808;0.18247144;N4;1;K;p4
116;女;woman,female;おんな;じょ;117;65.61119459;0.18190652;N5;1;K;p4
117;変;unusual,change,strange;かわる;へん;118;65.79253618;0.18134159;N4;15;K;p4
118;明;bright,light;あかり;めい;119;65.97105314;0.17851695;N5;8;K;p4
119;乃;from,possessive particle,whereupon,accordingly;の;ない;120;66.14900516;0.17795203;N1;44;K;p4
120;絵;picture,drawing,painting,sketch;;かい;121;66.32582734;0.17682217;N5;8;K;p4
121;会;meeting,meet,party,association,interview,join;あう;かい;122;66.50095473;0.17512739;N3;5;K;p4
122;顔;face,expression;かお;がん;123;66.6715627;0.17060797;N1;10;K;p4
123;待;wait,depend on;まつ;たい;124;66.83595648;0.16439378;N5;12;K;p4
124;続;continue,series,sequel;つづく;ぞく;125;66.99809055;0.16213407;N4;21;K;p4
125;世;generation,world,society,public;よ;せい;126;67.15965969;0.16156914;N1;4;K;p4
126;場;location,place;ば;じょう;127;67.31783927;0.15817958;N4;8;K;p4
127;持;hold,have;もつ;じ;128;67.47545392;0.15761465;N5;9;K;p4
128;考;consider,think over;かんがえる;こう;129;67.63193872;0.1564848;N4;5;K;p4
129;真;true,reality,Buddhist sect;ま;しん;130;67.78729366;0.15535494;N1;49;K;p4
130;者;someone,person;もの;しゃ;131;67.93812919;0.15083553;;-1;K;p4
131;通;traffic,pass through,avenue,commute,counter for letters;とおる;つう;132;68.08839979;0.1502706;N2;34;K;p4
132;動;move,motion,change,confusion,shift,shake;うごく;どう;133;68.23697561;0.14857582;N5;12;K;p4
133;最;utmost,most,extreme;もっとも;さい;133;68.38555143;0.14857582;N4;10;K;p4
134;年;year,counter for years;とし;ねん;135;68.53356232;0.14801089;N5;4;K;p4
135;物;thing,object,matter;もの;ぶつ;135;68.68157321;0.14801089;N5;9;K;p4
136;犯;crime,sin,offense;おかす;はん;135;68.8295841;0.14801089;N3;20;K;p4
137;黒;black;くろ;こく;135;68.97759499;0.14801089;N3;29;K;p4
138;高;tall,high,expensive;たかい;こう;139;69.12447603;0.14688104;N4;20;K;p4
139;度;degrees,occurrence,time,counter for occurrences,consider,attitude;たび;ど;140;69.27079214;0.14631611;N3;9;K;p4
140;好;fond,pleasing,like something;このむ;こう;141;69.41654332;0.14575118;N5;11;K;p4
141;理;logic,arrangement,reason,justice,truth;ことわり;り;142;69.56059973;0.1440564;N3;21;K;p4
142;雨;rain;あめ;う;143;69.7040912;0.14349148;N5;5;K;p4
143;別;separate,branch off,diverge,fork,another,extra,specially;わかれる;べつ;144;69.84701775;0.14292655;N4;11;K;p4
144;付;adhere,attach,refer to,append;つける;ふ;145;69.98881444;0.14179669;N1;11;K;p4
145;木;tree,wood;き;ぼく;145;70.13061114;0.14179669;N5;2;K;p4
146;南;south;みなみ;なん;147;70.27184291;0.14123177;N5;6;K;p4
147;仲;go-between,relationship;なか;ちゅう;148;70.40855526;0.13671235;N3;11;K;p4
148;張;"lengthen,counter for bows &amp; stringed instruments,stretch,spread,put up (tent)";はる;ちょう;149;70.54470268;0.13614742;N5;23;K;p4
149;死;death,die;しぬ;し;149;70.6808501;0.13614742;N1;6;K;p4
150;強;strong;つよい;きょう;151;70.8164326;0.1355825;N3;30;K;p4
