;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
562;隠;conceal,hide,cover;かくす;いん;562;93.18415493;0.0209023;N3;25;K;p4
563;午;noon,sign of the horse,11AM-1PM,seventh sign of Chinese zodiac;うま;ご;564;93.2044923;0.02033737;N5;15;K;p4
564;左;left;ひだり;さ;564;93.22482967;0.02033737;N5;2;K;p4
565;熱;heat,temperature,fever,mania,passion;あつい;ねつ;564;93.24516705;0.02033737;N4;13;K;p4
566;若;young,if,perhaps,possibly,low number,immature;わかい;じゃく;564;93.26550442;0.02033737;N5;19;K;p4
567;視;inspection,regard as,see,look at;みる;し;564;93.2858418;0.02033737;N5;22;K;p4
568;訓;instruction,Japanese character reading,explanation,read;おしえる;くん;564;93.30617917;0.02033737;N1;9;K;p4
569;馬;horse;うま;ば;564;93.32651655;0.02033737;N3;8;K;p4
570;駅;station;;えき;564;93.34685392;0.02033737;N5;13;K;p4
571;奥;heart,interior;おく;おう;572;93.36662637;0.01977245;N3;38;K;p4
572;宿;inn,lodging,relay station,dwell,lodge,be pregnant,home,dwelling;やど;しゅく;572;93.38639882;0.01977245;N3;13;K;p4
573;審;hearing,judge,trial;つまびらか;しん;572;93.40617126;0.01977245;N3;21;K;p4
574;掃;sweep,brush;はく;そう;572;93.42594371;0.01977245;N5;31;K;p4
575;減;dwindle,decrease,reduce,decline,curtail,get hungry;へる;げん;572;93.44571616;0.01977245;N3;19;K;p4
576;温;warm;あたたか;おん;572;93.46548861;0.01977245;N3;12;K;p4
577;画;brush-stroke,picture;えがく;が;572;93.48526105;0.01977245;N5;8;K;p4
578;眠;sleep,die,sleepy;ねむる;みん;572;93.5050335;0.01977245;N4;29;K;p4
579;線;line,track;すじ;せん;572;93.52480595;0.01977245;N4;10;K;p4
580;舎;cottage,inn,hut,house,mansion;やどる;しゃ;572;93.54457839;0.01977245;;-1;K;p4
581;具;tool,utensil,means,possess,ingredients,counter for armor;そなえる;ぐ;582;93.56378592;0.01920752;N4;20;K;p4
582;利;profit,advantage,benefit;きく;り;582;93.58299344;0.01920752;N3;28;K;p4
583;差;distinction,difference,variation,discrepancy,margin,balance;さす;さ;582;93.60220096;0.01920752;N3;24;K;p4
584;推;conjecture,infer,guess,suppose,support,push (for);おす;すい;582;93.62140848;0.01920752;N3;34;K;p4
585;罪;guilt,sin,crime,fault,blame,offense;つみ;ざい;582;93.640616;0.01920752;N3;20;K;p4
586;遣;dispatch,despatch,send,give,donate,do,undertake;つかう;けん;582;93.65982352;0.01920752;N5;37;K;p4
587;飲;drink,smoke,take;のむ;いん;582;93.67903104;0.01920752;N5;10;K;p4
588;処;dispose,manage,deal with,sentence,condemn,act,behave,place;ところ;しょ;589;93.69767363;0.01864259;N5;8;K;p4
589;囲;surround,besiege,store,paling,enclosure,encircle,preserve,keep;かこむ;い;589;93.71631622;0.01864259;N3;14;K;p4
590;広;wide,broad,spacious;ひろい;こう;589;93.73495882;0.01864259;N3;18;K;p4
591;暮;evening,twilight,season's end,livelihood,make a living,spend time;くれる;ぼ;589;93.75360141;0.01864259;N4;35;K;p4
592;混;mix,blend,confuse;まじる;こん;589;93.772244;0.01864259;N1;19;K;p4
593;珍;rare,curious,strange;めずらしい;ちん;589;93.7908866;0.01864259;N4;43;K;p4
594;申;have the honor to,sign of the monkey,3-5PM,ninth sign of Chinese zodiac;もうす;しん;589;93.80952919;0.01864259;N4;4;K;p4
595;茶;tea;;ちゃ;589;93.82817178;0.01864259;N5;6;K;p4
596;裏;back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong side;うら;り;589;93.84681438;0.01864259;N4;33;K;p4
597;響;echo,sound,resound,ring,vibrate;ひびく;きょう;589;93.86545697;0.01864259;N2;25;K;p4
598;修;discipline,conduct oneself well,study,master;おさめる;しゅう;599;93.88353464;0.01807767;N1;28;K;p4
599;個;individual,counter for articles;;こ;599;93.9016123;0.01807767;N3;20;K;p4
600;因;cause,factor,be associated with,depend on,be limited to;よる;いん;599;93.91968997;0.01807767;N2;41;K;p4
601;夕;evening;ゆう;せき;599;93.93776763;0.01807767;N5;2;K;p4
602;打;strike,hit,knock,pound,dozen;うつ;だ;599;93.9558453;0.01807767;N4;4;K;p4
603;板;plank,board,plate,stage;いた;はん;599;93.97392297;0.01807767;N3;29;K;p4
604;染;dye,color,paint,stain,print;そめる;せん;599;93.99200063;0.01807767;N1;34;K;p4
605;歌;song,sing;うた;か;599;94.0100783;0.01807767;N5;10;K;p4
606;異;uncommon,different,queerness,strangeness,wonderful,curious,unusual;こと;い;599;94.02815597;0.01807767;N3;33;K;p4
607;経;sutra,longitude,pass thru,expire,warp;へる;けい;599;94.04623363;0.01807767;N5;34;K;p4
608;限;limit,restrict,to best of ability;かぎる;げん;599;94.0643113;0.01807767;N3;25;K;p4
609;飛;fly,skip (pages),scatter;とぶ;ひ;599;94.08238896;0.01807767;N5;20;K;p4
610;喜;rejoice,take pleasure in;よろこぶ;き;611;94.0999017;0.01751274;N4;17;K;p4
611;増;increase,add,augment,gain,promote;ます;ぞう;611;94.11741444;0.01751274;N4;21;K;p4
612;寒;cold;さむい;かん;611;94.13492718;0.01751274;N5;12;K;p4
613;座;squat,seat,cushion,gathering,sit;すわる;ざ;611;94.15243992;0.01751274;N3;18;K;p4
614;忙;busy,occupied,restless;いそがしい;ぼう;611;94.16995266;0.01751274;N5;19;K;p4
615;腹;abdomen,belly,stomach;はら;ふく;611;94.1874654;0.01751274;N3;27;K;p4
616;華;splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous;はな;か;611;94.20497814;0.01751274;N5;4;K;p4
617;超;transcend,super-,ultra-;こえる;ちょう;611;94.22249088;0.01751274;N1;36;K;p4
618;適;suitable,occasional,rare,qualified,capable;かなう;てき;611;94.24000362;0.01751274;N4;30;K;p4
619;駄;burdensome,pack horse,horse load,send by horse,trivial,worthless;;だ;611;94.25751635;0.01751274;N3;50;K;p4
620;驚;wonder,be surprised,frightened,amazed;おどろく;きょう;611;94.27502909;0.01751274;N4;31;K;p4
621;万;ten thousand,10;よろず;まん;622;94.29197691;0.01694781;N5;3;K;p4
622;廊;corridor,hall,tower;;ろう;622;94.30892472;0.01694781;N5;31;K;p4
623;接;touch,contact,adjoin,piece together;つぐ;せつ;622;94.32587253;0.01694781;;-1;K;p4
624;泊;overnight stay,put up at,ride at anchor;とまる;はく;622;94.34282034;0.01694781;N4;42;K;p4
625;清;pure,purify,cleanse,exorcise,Manchu dynasty;きよい;せい;622;94.35976815;0.01694781;N3;28;K;p4
626;科;department,course,section;;か;622;94.37671597;0.01694781;N3;16;K;p4
627;邪;wicked,injustice,wrong;よこしま;じゃ;622;94.39366378;0.01694781;N3;50;K;p4
628;側;side,lean,oppose,regret;かわ;そく;629;94.41004666;0.01638288;N5;17;K;p4
629;再;again,twice,second time;ふたたび;さい;629;94.42642955;0.01638288;N5;26;K;p4
630;悩;trouble,worry,in pain,distress,illness;なやむ;のう;629;94.44281243;0.01638288;N3;27;K;p4
631;根;root,radical,head (pimple);ね;こん;629;94.45919532;0.01638288;N3;12;K;p4
632;盗;steal,rob,pilfer;ぬすむ;とう;629;94.4755782;0.01638288;N4;30;K;p4
633;薬;medicine,chemical,enamel,gunpowder,benefit;くすり;やく;629;94.49196109;0.01638288;N5;17;K;p4
634;魚;fish;うお;ぎょ;629;94.50834397;0.01638288;N5;7;K;p4
635;冗;superfluous,uselessness;;じょう;636;94.52416193;0.01581796;N3;16;K;p4
636;協;co-,cooperation;;きょう;636;94.53997989;0.01581796;N3;11;K;p4
637;基;fundamentals,radical (chem),counter for machines,foundation;もと;き;636;94.55579785;0.01581796;N3;3;K;p4
638;席;seat,mat,occasion,place;むしろ;せき;636;94.5716158;0.01581796;N4;17;K;p4
639;懸;state of suspension,hang,depend,consult,distant,far apart;かける;けん;636;94.58743376;0.01581796;N5;25;K;p4
640;拐;kidnap,falsify;;かい;636;94.60325172;0.01581796;;-1;K;p4
641;散;scatter,disperse,spend,squander;ちる;さん;636;94.61906968;0.01581796;N5;31;K;p4
642;第;No.,residence;;だい;636;94.63488764;0.01581796;N1;51;K;p4
643;粉;flour,powder,dust;デシメートル;ふん;636;94.65070559;0.01581796;N3;31;K;p4
644;飯;meal,boiled rice;めし;はん;636;94.66652355;0.01581796;N3;15;K;p4
645;健;healthy,health,strength,persistence;すこやか;けん;646;94.68177658;0.01525303;N3;27;K;p4
646;働;work,(kokuji);はたらく;どう;646;94.69702961;0.01525303;N5;11;K;p4
647;勘;intuition,perception,check,compare,sixth sense;;かん;646;94.71228264;0.01525303;N3;49;K;p4
648;史;history,chronicle;;し;646;94.72753568;0.01525303;;-1;K;p4
649;士;gentleman,scholar,samurai,samurai radical (no. 33);さむらい;し;646;94.74278871;0.01525303;N1;44;K;p4
650;慢;ridicule,laziness;;まん;646;94.75804174;0.01525303;;-1;K;p4
651;敵;enemy,foe,opponent;かたき;てき;646;94.77329477;0.01525303;N1;21;K;p4
652;曜;weekday;;よう;646;94.7885478;0.01525303;N3;16;K;p4
653;痛;pain,hurt,damage,bruise;いたい;つう;646;94.80380083;0.01525303;N3;29;K;p4
654;秘;secret,conceal;ひめる;ひ;646;94.81905386;0.01525303;N3;32;K;p4
655;等;etc.,and so forth,class (first),quality,equal,similar;ひとしい;とう;646;94.83430689;0.01525303;N3;18;K;p4
656;背;stature,height,back,behind,disobey,defy,go back on,rebel;せ;はい;646;94.84955992;0.01525303;N5;30;K;p4
657;酒;sake,alcohol;さけ;しゅ;646;94.86481295;0.01525303;;-1;K;p4
658;魔;witch,demon,evil spirit;;ま;646;94.88006598;0.01525303;;-1;K;p4
659;鼻;nose,snout;はな;び;646;94.89531901;0.01525303;N5;17;K;p4
660;井;well,well crib,town,community;い;せい;661;94.91000712;0.0146881;N2;45;K;p4
661;価;value,price;あたい;か;661;94.92469522;0.0146881;N3;22;K;p4
662;偶;"accidentally,even number,couple,man &amp; wife,same kind";たま;ぐう;661;94.93938333;0.0146881;N3;50;K;p4
663;制;system,law,rule;;せい;661;94.95407143;0.0146881;N3;21;K;p4
664;婚;marriage;;こん;661;94.96875953;0.0146881;;-1;K;p4
665;敗;failure,defeat,reversal;やぶれる;はい;661;94.98344764;0.0146881;N4;9;K;p4
666;敬;awe,respect,honor,revere;うやまう;けい;661;94.99813574;0.0146881;N2;33;K;p4
667;晩;nightfall,night;;ばん;661;95.01282384;0.0146881;N5;15;K;p4
668;潰;crush,smash,break,dissipate;つぶす;かい;661;95.02751195;0.0146881;;-1;K;p4
669;独;single,alone,spontaneously,Germany;ひとり;どく;661;95.04220005;0.0146881;N3;26;K;p4
670;甘;sweet,coax,pamper,be content,sugary;あまい;かん;661;95.05688816;0.0146881;N5;36;K;p4
671;示;show,indicate,point out,express,display;しめす;じ;661;95.07157626;0.0146881;N3;22;K;p4
672;票;ballot,label,ticket,sign;;ひょう;661;95.08626436;0.0146881;N1;25;K;p4
673;程;extent,degree,law,formula,distance,limits,amount;ほど;てい;661;95.10095247;0.0146881;N3;28;K;p4
674;童;juvenile,child;わらべ;どう;661;95.11564057;0.0146881;N2;12;K;p4
675;詳;detailed,full,minute,accurate,well-informed;くわしい;しょう;661;95.13032867;0.0146881;N3;17;K;p4
676;首;neck,counter for songs and poems;くび;しゅ;661;95.14501678;0.0146881;N4;6;K;p4
677;香;incense,smell,perfume;か;こう;661;95.15970488;0.0146881;N3;37;K;p4
678;両;both,old Japanese coin,counter for carriages (e.g.,two;てる;りょう;679;95.17382806;0.01412318;N4;6;K;p4
679;光;ray,light;ひかる;こう;679;95.18795124;0.01412318;N4;5;K;p4
680;娘;daughter,girl;むすめ;じょう;679;95.20207441;0.01412318;N4;29;K;p4
681;投;throw,discard,abandon,launch into,join,invest in,hurl,give up,sell at a loss;なげる;とう;679;95.21619759;0.01412318;N3;25;K;p4
682;担;shouldering,carry,raise,bear;かつぐ;たん;679;95.23032077;0.01412318;N3;24;K;p4
683;極;poles,settlement,conclusion,end,highest rank,electric poles,very,extremely,most,highly,10**48;きわめる;きょく;679;95.24444394;0.01412318;N4;8;K;p4
684;汗;sweat,perspire;あせ;かん;679;95.25856712;0.01412318;N3;26;K;p4
685;祖;ancestor,pioneer,founder;;そ;679;95.2726903;0.01412318;N4;10;K;p4
686;筋;muscle,sinew,tendon,fiber,plot,plan,descent;すじ;きん;679;95.28681347;0.01412318;N3;33;K;p4
687;系;lineage,system;;けい;679;95.30093665;0.01412318;N1;30;K;p4
688;険;precipitous,inaccessible place,impregnable position,steep place,sharp eyes;けわしい;けん;679;95.31505983;0.01412318;;-1;K;p4
689;届;deliver,reach,arrive,report,notify,forward;とどける;かい;690;95.32861808;0.01355825;N4;26;K;p4
690;恋;romance,in love,yearn for,miss,darling;こう;れん;690;95.34217633;0.01355825;N3;17;K;p4
691;抱;embrace,hug,hold in arms;だく;ほう;690;95.35573457;0.01355825;N3;37;K;p4
692;拠;foothold,based on,follow,therefore;よる;きょ;690;95.36929282;0.01355825;N2;41;K;p4
693;求;request,want,wish for,require,demand;もとめる;きゅう;690;95.38285107;0.01355825;N3;10;K;p4
694;涙;tears,sympathy;なみだ;るい;690;95.39640932;0.01355825;N3;44;K;p4
695;石;stone;いし;せき;690;95.40996757;0.01355825;N4;4;K;p4
696;端;edge,origin,end,point,border,verge,cape;はし;たん;690;95.42352582;0.01355825;N3;27;K;p4
697;胸;bosom,breast,chest,heart,feelings;むね;きょう;690;95.43708407;0.01355825;N3;18;K;p4
698;芽;bud,sprout,spear,germ;め;が;690;95.45064232;0.01355825;N3;44;K;p4
699;袋;sack,bag,pouch;ふくろ;たい;690;95.46420057;0.01355825;N3;42;K;p4
700;丸;round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away;まる;がん;701;95.47719389;0.01299332;N3;2;K;p4
701;傷;wound,hurt,injure,impair,pain,injury,cut,gash,scar,weak point;きず;しょう;701;95.49018722;0.01299332;N3;32;K;p4
702;器;utensil,vessel,receptacle,implement,instrument,ability,container,tool,set;うつわ;き;701;95.50318054;0.01299332;N1;13;K;p4
703;宜;best regards,good;よろしい;ぎ;701;95.51617386;0.01299332;N5;11;K;p4
704;歳;year-end,age,occasion,opportunity;とし;さい;701;95.52916718;0.01299332;N5;4;K;p4
705;段;grade,steps,stairs;;だん;701;95.54216051;0.01299332;N5;27;K;p4
706;毒;poison,virus,venom,germ,harm,injury,spite;;どく;701;95.55515383;0.01299332;N3;15;K;p4
707;疎;alienate,rough,neglect,shun,sparse,penetrate;うとい;そ;701;95.56814715;0.01299332;N1;56;K;p4
708;筈;notch of an arrow,ought,must,should be,expected;はず;かつ;701;95.58114047;0.01299332;;-1;K;p4
709;箱;box,chest,case,bin,railway car;はこ;そう;701;95.5941338;0.01299332;N5;16;K;p4
710;節;node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle,knob,knot,tune,melody;ふし;せつ;701;95.60712712;0.01299332;;-1;K;p4
711;舞;dance,flit,circle,wheel;まう;ぶ;701;95.62012044;0.01299332;N3;36;K;p4
712;英;England,English,hero,outstanding,calyx;はなぶさ;えい;701;95.63311377;0.01299332;N5;15;K;p4
713;資;assets,resources,capital,funds,data,be conducive to,contribute to;;し;701;95.64610709;0.01299332;N2;21;K;p4
714;路;path,route,road,distance;じ;ろ;701;95.65910041;0.01299332;N5;8;K;p4
715;迫;urge,force,imminent,spur on;せまる;はく;701;95.67209373;0.01299332;N1;27;K;p4
716;値;price,cost,value;ね;ち;717;95.68452213;0.0124284;N3;22;K;p4
717;偉;admirable,greatness,remarkable,conceited,famous,excellent;えらい;い;717;95.69695052;0.0124284;N3;51;K;p4
718;奇;strange,strangeness,curiosity;くしき;き;717;95.70937892;0.0124284;N5;29;K;p4
719;封;seal,closing;;ふう;717;95.72180731;0.0124284;N1;43;K;p4
720;工;craft,construction,katakana e radical (no. 48);;こう;717;95.73423571;0.0124284;N4;8;K;p4
721;改;reformation,change,modify,mend,renew,examine,inspect,search;あらためる;かい;717;95.74666411;0.0124284;N3;19;K;p4
722;毛;fur,hair,feather,down;け;もう;717;95.7590925;0.0124284;N4;3;K;p4
723;泉;spring,fountain;いずみ;せん;717;95.7715209;0.0124284;N3;12;K;p4
724;球;ball,sphere;たま;きゅう;717;95.78394929;0.0124284;N3;2;K;p4
725;禁;prohibition,ban,forbid;;きん;717;95.79637769;0.0124284;N3;18;K;p4
726;移;shift,move,change,drift,catch (cold,pass into;うつる;い;717;95.80880608;0.0124284;N1;28;K;p4
727;級;class,rank,grade;;きゅう;717;95.82123448;0.0124284;;-1;K;p4
728;紹;introduce,inherit,help;;しょう;717;95.83366287;0.0124284;N4;35;K;p4
729;義;righteousness,justice,morality,honor,loyalty,meaning;;ぎ;717;95.84609127;0.0124284;N3;21;K;p4
730;職;post,employment,work;;しょく;717;95.85851967;0.0124284;N3;23;K;p4
731;観;outlook,look,appearance,condition,view;みる;かん;717;95.87094806;0.0124284;N3;22;K;p4
732;論;argument,discourse;あげつらう;ろん;717;95.88337646;0.0124284;N3;20;K;p4
733;踪;remains,clue,footprint;あと;そう;717;95.89580485;0.0124284;;-1;K;p4
734;非;un-,mistake,negative,injustice,non-;あらず;ひ;717;95.90823325;0.0124284;N4;54;K;p4
735;刻;engrave,cut fine,chop,hash,mince,time,carving;きざむ;こく;736;95.92009672;0.01186347;N3;7;K;p4
736;密;secrecy,density (pop),minuteness,carefulness;ひそか;みつ;736;95.93196018;0.01186347;N1;32;K;p4
737;帯;sash,belt,obi,zone,region;おびる;たい;736;95.94382365;0.01186347;N3;31;K;p4
738;挑;challenge,contend for,make love to;いどむ;ちょう;736;95.95568712;0.01186347;N1;42;K;p4
739;昼;daytime,noon;ひる;ちゅう;736;95.96755059;0.01186347;N5;15;K;p4
740;案;plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table,bench;つくえ;あん;736;95.97941406;0.01186347;N5;32;K;p4
741;留;detain,fasten,halt,stop;とめる;りゅう;736;95.99127753;0.01186347;N3;16;K;p4
742;継;inherit,succeed,continue,patch,graft (tree);つぐ;けい;736;96.00314099;0.01186347;N1;36;K;p4
743;緊;tense,solid,hard,reliable,tight;しめる;きん;736;96.01500446;0.01186347;N5;29;K;p4
744;芸;technique,art,craft,performance,acting,trick,stunt;うえる;げい;736;96.02686793;0.01186347;N3;14;K;p4
745;補;supplement,supply,make good,offset,compensate,assistant,learner;おぎなう;ほ;736;96.0387314;0.01186347;N2;25;K;p4
746;誤;mistake,err,do wrong,mislead;あやまる;ご;736;96.05059487;0.01186347;N3;36;K;p4
747;谷;valley;たに;こく;736;96.06245834;0.01186347;N3;5;K;p4
748;貰;get,have,obtain;もらう;せい;736;96.07432181;0.01186347;;-1;K;p4
749;貼;stick,paste,apply;はる;てん;736;96.08618527;0.01186347;N5;23;K;p4
750;遭;encounter,meet,party,association,interview,join;あう;そう;736;96.09804874;0.01186347;N5;5;K;p4
751;閉;closed,shut;とじる;へい;736;96.10991221;0.01186347;N5;33;K;p4
752;勢;forces,energy,military strength;いきおい;せい;753;96.12121075;0.01129854;N3;22;K;p4
753;号;nickname,number,item,title,pseudonym,name,call;さけぶ;ごう;753;96.13250929;0.01129854;N1;4;K;p4
754;否;negate,no,noes,refuse,decline,deny;いな;ひ;753;96.14380783;0.01129854;N5;33;K;p4
755;喫;consume,eat,drink,smoke,receive (a blow);のむ;きつ;753;96.15510638;0.01129854;N5;18;K;p4
756;嘘;lie,falsehood;うそ;きょ;753;96.16640492;0.01129854;;-1;K;p4
757;団;group,association;かたまり;だん;753;96.17770346;0.01129854;N1;49;K;p4
758;委;committee,entrust to,leave to,devote,discard;ゆだねる;い;753;96.189002;0.01129854;N3;17;K;p4
759;庭;courtyard,garden,yard;にわ;てい;753;96.20030054;0.01129854;N5;12;K;p4
760;御;honorable,manipulate,govern;おん;ぎょ;753;96.21159908;0.01129854;N5;5;K;p4
761;揚;raise,elevate,hoist,praise,extol,fry in deep fat;あげる;よう;753;96.22289762;0.01129854;N5;1;K;p4
762;撃;beat,attack,defeat,conquer;うつ;げき;753;96.23419617;0.01129854;N3;28;K;p4
763;漢;Sino-,China;;かん;753;96.24549471;0.01129854;N5;10;K;p4
764;簡;simplicity,brevity;えらぶ;かん;753;96.25679325;0.01129854;N4;33;K;p4
765;聴;listen,headstrong,naughty,careful inquiry;きく;ちょう;753;96.26809179;0.01129854;N5;10;K;p4
766;臭;stinking,ill-smelling,suspicious looking,odor,savor,fragrance,be fragrant,stink,glow,be bright;くさい;しゅう;753;96.27939033;0.01129854;N3;20;K;p4
767;虫;insect,bug,temper;むし;ちゅう;753;96.29068887;0.01129854;N4;4;K;p4
768;貸;lend;かす;たい;753;96.30198741;0.01129854;N5;27;K;p4
769;辞;resign,word,term,expression;やめる;じ;753;96.31328595;0.01129854;N5;12;K;p4
770;公;public,prince,official,governmental;おおやけ;こう;771;96.32401957;0.01073361;N4;8;K;p4
771;冠;crown,best,peerless;かんむり;かん;771;96.33475318;0.01073361;N2;54;K;p4
772;努;toil,diligent,as much as possible;つとめる;ど;771;96.3454868;0.01073361;N3;11;K;p4
773;医;doctor,medicine;いやす;い;771;96.35622041;0.01073361;N4;8;K;p4
774;厳;stern,strictness,severity,rigidity;おごそか;げん;771;96.36695403;0.01073361;N4;32;K;p4
775;導;guidance,leading,conduct,usher;みちびく;どう;771;96.37768764;0.01073361;N1;23;K;p4
776;巻;scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls);まく;かん;771;96.38842125;0.01073361;N2;25;K;p4
777;志;intention,plan,resolve,aspire,motive,hopes,shilling;シリング;し;771;96.39915487;0.01073361;N1;32;K;p4
778;恨;regret,bear a grudge,resentment,malice,hatred;うらむ;こん;771;96.40988848;0.01073361;N2;49;K;p4
779;択;choose,select,elect,prefer;えらぶ;たく;771;96.4206221;0.01073361;N4;13;K;p4
780;派;faction,group,party,clique,sect,school;;は;771;96.43135571;0.01073361;N2;21;K;p4
781;濃;concentrated,thick,dark,undiluted;こい;のう;771;96.44208933;0.01073361;N3;27;K;p4
782;精;refined,ghost,fairy,energy,vitality,semen,excellence,purity,skill;しらげる;せい;771;96.45282294;0.01073361;N3;28;K;p4
783;繰;winding,reel,spin,turn (pages),look up,refer to;くる;そう;771;96.46355655;0.01073361;N3;40;K;p4
784;署;signature,govt office,police station;;しょ;771;96.47429017;0.01073361;N3;17;K;p4
785;脅;threaten,coerce;おびやかす;きょう;771;96.48502378;0.01073361;N1;48;K;p4
786;血;blood;ち;けつ;771;96.4957574;0.01073361;N4;6;K;p4
787;詰;packed,close,pressed,reprove,rebuke,blame;つめる;きつ;771;96.50649101;0.01073361;N3;29;K;p4
788;誕;nativity,be born,declension,lie,be arbitrary;;たん;771;96.51722463;0.01073361;N5;24;K;p4
789;辰;sign of the dragon,7-9AM,fifth sign of Chinese zodiac,shin dragon radical (no. 161);たつ;しん;771;96.52795824;0.01073361;;-1;K;p4
790;銭;coin,.01 yen,money;ぜに;せん;771;96.53869185;0.01073361;;-1;K;p4
791;青;blue,green;あお;せい;771;96.54942547;0.01073361;N3;5;K;p4
792;並;row,and,besides,as well as,line up,rank with,rival,equal;なみ;へい;793;96.55959416;0.01016869;N1;28;K;p4
793;判;judgement,signature,stamp,seal;わかる;はん;793;96.56976284;0.01016869;N5;3;K;p4
794;務;task,duties;つとめる;む;793;96.57993153;0.01016869;N5;21;K;p4
795;婆;old woman,grandma,wet nurse;ばば;ば;793;96.59010022;0.01016869;;-1;K;p4
796;屈;yield,bend,flinch,submit;かがむ;くつ;793;96.60026891;0.01016869;;-1;K;p4
797;康;ease,peace;;こう;793;96.61043759;0.01016869;;-1;K;p4
798;才;genius,years old,cubic shaku;;さい;793;96.62060628;0.01016869;N3;14;K;p4
799;拶;be imminent,draw close;せまる;さつ;793;96.63077497;0.01016869;;-1;K;p4
800;挨;approach,draw near,push open;ひらく;あい;793;96.64094365;0.01016869;;-1;K;p4
801;撮;snapshot,take pictures;とる;さつ;793;96.65111234;0.01016869;N5;30;K;p4
802;易;easy,ready to,simple,fortune-telling,divination;やさしい;えき;793;96.66128103;0.01016869;N5;19;K;p4
803;替;exchange,spare,substitute,per-;かえる;たい;793;96.67144972;0.01016869;N4;6;K;p4
804;納;settlement,obtain,reap,pay,supply,store;おさめる;のう;793;96.6816184;0.01016869;N3;35;K;p4
805;致;doth,do,send,forward,cause,exert,incur,engage;いたす;ち;793;96.69178709;0.01016869;N4;38;K;p4
806;装;attire,dress,pretend,disguise,profess;よそおう;そう;793;96.70195578;0.01016869;N3;33;K;p4
807;角;angle,corner,square,horn,antlers;かど;かく;793;96.71212446;0.01016869;N5;5;K;p4
808;諦;truth,clarity,abandon,give up;あきらめる;てい;793;96.72229315;0.01016869;;-1;K;p4
809;賞;prize,reward,praise;ほめる;しょう;793;96.73246184;0.01016869;N4;40;K;p4
810;軽;lightly,trifling,unimportant;かるい;けい;793;96.74263053;0.01016869;N5;10;K;p4
811;雑;miscellaneous;まじえる;ざつ;793;96.75279921;0.01016869;N5;33;K;p4
812;震;quake,shake,tremble,quiver,shiver;ふるう;しん;793;96.7629679;0.01016869;N3;22;K;p4
813;低;lower,short,humble;ひくい;てい;814;96.77257166;0.00960376;N5;11;K;p4
814;効;merit,efficacy,efficiency,benefit;きく;こう;814;96.78217542;0.00960376;N3;25;K;p4
815;唇;lips;くちびる;しん;814;96.79177918;0.00960376;N2;47;K;p4
816;図;map,drawing,plan,extraordinary,audacious;え;ず;814;96.80138294;0.00960376;N3;5;K;p4
817;型;mould,type,model;かた;けい;814;96.8109867;0.00960376;N3;24;K;p4
818;式;style,ceremony,rite,function,method,system,form,expression;;しき;814;96.82059046;0.00960376;N3;15;K;p4
819;抑;repress,well,now,in the first place,push,shove,press,seal,do in spite of;おさえる;よく;814;96.83019422;0.00960376;N1;38;K;p4
820;握;grip,hold,mould sushi,bribe;にぎる;あく;814;96.83979798;0.00960376;N3;42;K;p4
821;敷;spread,pave,sit,promulgate;しく;ふ;814;96.84940174;0.00960376;N2;40;K;p4
822;旦;daybreak,dawn,morning;あきらか;たん;814;96.8590055;0.00960376;N1;55;K;p4
823;暑;sultry,hot,summer heat;あつい;しょ;814;96.86860926;0.00960376;N5;12;K;p4
824;殴;assault,hit,beat,thrash;なぐる;おう;814;96.87821302;0.00960376;N2;48;K;p4
825;治;reign,be at peace,calm down,subdue,quell,govt,cure,heal,rule,conserve;おさめる;じ;814;96.88781678;0.00960376;N1;36;K;p4
826;煮;boil,cook;にる;しゃ;814;96.89742054;0.00960376;N2;49;K;p4
827;裁;tailor,judge,decision,cut out (pattern);たつ;さい;814;96.9070243;0.00960376;N2;56;K;p4
828;跡;tracks,mark,print,impression;あと;せき;814;96.91662806;0.00960376;N3;37;K;p4
829;隣;neighboring;となる;りん;814;96.92623182;0.00960376;N5;40;K;p4
830;黄;yellow;き;こう;814;96.93583558;0.00960376;N5;7;K;p4
831;乱;riot,war,disorder,disturb;みだれる;らん;832;96.94487442;0.00903883;N1;19;K;p4
832;労;labor,thank for,reward for,toil,trouble;ろうする;ろう;832;96.95391325;0.00903883;N3;11;K;p4
833;古;old;ふるい;こ;832;96.96295208;0.00903883;N5;3;K;p4
834;展;unfold,expand;;てん;832;96.97199092;0.00903883;N2;24;K;p4
835;布;linen,cloth,spread,distribute;ぬの;ふ;832;96.98102975;0.00903883;N3;19;K;p4
836;技;skill,art,craft,ability,feat,performance,vocation,arts;わざ;ぎ;832;96.99006858;0.00903883;N1;14;K;p4
837;挙;raise,plan,project,behavior,actions;あげる;きょ;832;96.99910742;0.00903883;N5;1;K;p4
838;換;interchange,period,change,convert,replace,renew;かえる;かん;832;97.00814625;0.00903883;N3;25;K;p4
